gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
010332,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096289,I
010332,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096289,I
010332,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096289,I
010345,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096412,I
010345,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096412,I
010345,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096412,I
010345,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096412,I
010349,31/08/2004,2004,1,INDL,C,D,STD,USD,2004Q3,2004Q1,0000096536,A
010349,30/11/2004,2004,2,INDL,C,D,STD,USD,2004Q4,2004Q2,0000096536,A
010349,28/02/2005,2004,3,INDL,C,D,STD,USD,2005Q1,2004Q3,0000096536,A
010349,31/05/2005,2004,4,INDL,C,D,STD,USD,2005Q2,2004Q4,0000096536,A
010353,31/08/2004,2004,1,INDL,C,D,STD,USD,2004Q3,2004Q1,0000318833,A
010353,30/11/2004,2004,2,INDL,C,D,STD,USD,2004Q4,2004Q2,0000318833,A
010353,28/02/2005,2004,3,INDL,C,D,STD,USD,2005Q1,2004Q3,0000318833,A
010353,31/05/2005,2004,4,INDL,C,D,STD,USD,2005Q2,2004Q4,0000318833,A
010361,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000764039,A
010361,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000764039,A
010361,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000764039,A
010361,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000764039,A
010364,30/06/2004,2004,3,INDL,C,D,STD,USD,2004Q2,2004Q3,0000096699,A
010364,30/09/2004,2004,4,INDL,C,D,STD,USD,2004Q3,2004Q4,0000096699,A
010364,31/12/2004,2005,1,INDL,C,D,STD,USD,2004Q4,2005Q1,0000096699,A
010364,31/03/2005,2005,2,INDL,C,D,STD,USD,2005Q1,2005Q2,0000096699,A
010374,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096763,I
010374,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096763,I
010374,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096763,I
010374,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096763,I
010380,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000096793,A
010380,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000096793,A
